"@id","@type","dc:creator","dc:date","dc:publisher","description","link","prism:endingPage","prism:issn","prism:number","prism:pageRange","prism:publicationDate","prism:publicationName","prism:startingPage","prism:volume","rdfs:seeAlso","title"
"https://ci.nii.ac.jp/naid/40022246571","item","[{'@value': '平野 俊夫'}]","2020-07","中央公論新社","","{'@id': 'https://ci.nii.ac.jp/naid/40022246571'}","83.0","0529-6838","7.0","","20","中央公論","70.0","134.0","{'@id': 'https://ci.nii.ac.jp/naid/40022246571.json'}","医療体制を整備し、COVID-19を克服せよ : 集団免疫とワクチン・治療薬の最前線 (特集 コロナ・文明・日本)"
"https://ci.nii.ac.jp/naid/40022244164","item","[{'@value': '大西 眞由美'}]","2020-07","婦人之友社","","{'@id': 'https://ci.nii.ac.jp/naid/40022244164'}","123.0","","7.0","","20","婦人之友","118.0","114.0","{'@id': 'https://ci.nii.ac.jp/naid/40022244164.json'}","家計ルーム 外出自粛、家計にどう影響? (特集 新型コロナ(COVID-19)と私たち)"
"https://ci.nii.ac.jp/naid/40022244136","item","[{'@value': '加藤 眞三'}]","2020-07","婦人之友社","","{'@id': 'https://ci.nii.ac.jp/naid/40022244136'}","117.0","","7.0","","20","婦人之友","112.0","114.0","{'@id': 'https://ci.nii.ac.jp/naid/40022244136.json'}","健康往来 飛び交う健康情報に惑わされない! 正しい情報を選ぶ「患者力」 (特集 新型コロナ(COVID-19)と私たち)"
"https://ci.nii.ac.jp/naid/40022244127","item","[{'@value': '田中 利幸'}]","2020-07","婦人之友社","","{'@id': 'https://ci.nii.ac.jp/naid/40022244127'}","111.0","","7.0","","20","婦人之友","106.0","114.0","{'@id': 'https://ci.nii.ac.jp/naid/40022244127.json'}","コロナ疲れ ストレスをためない こころのケア (特集 新型コロナ(COVID-19)と私たち)"
"https://ci.nii.ac.jp/naid/40022244124","item","[{'@value': '辻 信一'}]","2020-07","婦人之友社","","{'@id': 'https://ci.nii.ac.jp/naid/40022244124'}","105.0","","7.0","","20","婦人之友","100.0","114.0","{'@id': 'https://ci.nii.ac.jp/naid/40022244124.json'}","コロナ危機の向こうに ""緑の力""という希望(2) (特集 新型コロナ(COVID-19)と私たち)"
"https://ci.nii.ac.jp/naid/40022247673","item","[]","2020-06-08","国際商業出版","","{'@id': 'https://ci.nii.ac.jp/naid/40022247673'}","8.0","0388-211X","1155.0","","20","国際医薬品情報","5.0","","{'@id': 'https://ci.nii.ac.jp/naid/40022247673.json'}","業界動向 中等症患者を対象に経口剤での第2相がスタート レムデシビルを追うCOVID-19の新規治療薬AT-527"
"https://ci.nii.ac.jp/naid/40022236376","item","[]","2020-06-06","ダイヤモンド社","","{'@id': 'https://ci.nii.ac.jp/naid/40022236376'}","","","22.0","71","20","週刊ダイヤモンド = Diamond weekly","","108.0","{'@id': 'https://ci.nii.ac.jp/naid/40022236376.json'}","カラダご医見番・ライフスタイル編(Number 498)With COVID-19だからこそ : 血糖コントロールが大事"
"https://ci.nii.ac.jp/naid/40022242114","item","[{'@value': '神谷 毅'}]","2020-06-05","金曜日","","{'@id': 'https://ci.nii.ac.jp/naid/40022242114'}","15.0","","21.0","","20","金曜日","14.0","28.0","{'@id': 'https://ci.nii.ac.jp/naid/40022242114.json'}","COVID-19 新型コロナウイルス感染症 「スピード感」で読み解く韓国の新型コロナ対応 重症者と無症状・軽症者を分離、医療崩壊食い止める"
"https://ci.nii.ac.jp/naid/40022240621","item","[{'@value': '葛西 陽子'}, {'@value': '美馬 拓也'}, {'@value': '石井 将介'}]","2020-06-01","商事法務","","{'@id': 'https://ci.nii.ac.jp/naid/40022240621'}","88.0","0287-9670","1171.0","","20","NBL","83.0","","{'@id': 'https://ci.nii.ac.jp/naid/40022240621.json'}","最新デジタルヘルス・ライフサイエンスの法律問題の勘所(第2回)オンライン診療・オンライン服薬指導に関する規制の動向 : 新型コロナウイルス感染症(COVID-19)の感染拡大を踏まえた特例的な対応も含めて"
"https://ci.nii.ac.jp/naid/40022240581","item","[{'@value': '北島(村田) 典子'}]","2020-06-01","商事法務","","{'@id': 'https://ci.nii.ac.jp/naid/40022240581'}","50.0","0287-9670","1171.0","","20","NBL","40.0","","{'@id': 'https://ci.nii.ac.jp/naid/40022240581.json'}","COVID-19によるオーストラリア倒産法改正"
